first_name,second_name,age,sex,vehicle_make,vehicle_model,vehicle_year,vehicle_type,data,address_city,last_name,credit_card_start_date,credit_card_number,address_main,address_postcode,credit_card_end_date,credit_card_security_code,iban
Leon,Smith,48,Male,Mercedes-Benz,Astro Cargo,2009,Pickup,"{'source': 'CSV', 'raw_data': {'First Name': 'Leon', 'Second Name': 'Smith', 'Age (Years)': '48', 'Sex': 'Male', 'Vehicle Make': 'Mercedes-Benz', 'Vehicle Model': 'Astro Cargo', 'Vehicle Year': '2009', 'Vehicle Type': 'Pickup'}}",,,,,,,,,
Margaret,Mason,35,Female,Honda,Sable,2015,Van/Minivan,"{'source': 'CSV', 'raw_data': {'First Name': 'Margaret', 'Second Name': 'Mason', 'Age (Years)': '35', 'Sex': 'Female', 'Vehicle Make': 'Honda', 'Vehicle Model': 'Sable', 'Vehicle Year': '2015', 'Vehicle Type': 'Van/Minivan'}}",,,,,,,,,
Guy,Harrison,26,Male,Chevrolet,S60,2013,SUV,"{'source': 'CSV', 'raw_data': {'First Name': 'Guy', 'Second Name': 'Harrison', 'Age (Years)': '26', 'Sex': 'Male', 'Vehicle Make': 'Chevrolet', 'Vehicle Model': 'S60', 'Vehicle Year': '2013', 'Vehicle Type': 'SUV'}}",,,,,,,,,
Denise,Robinson,30,Female,Ford,Tucson,2002,Sedan,"{'source': 'CSV', 'raw_data': {'First Name': 'Denise', 'Second Name': 'Robinson', 'Age (Years)': '30', 'Sex': 'Female', 'Vehicle Make': 'Ford', 'Vehicle Model': 'Tucson', 'Vehicle Year': '2002', 'Vehicle Type': 'Sedan'}}",,,,,,,,,
Simon,Fox,27,Male,Toyota,Dart,2005,SUV,"{'source': 'CSV', 'raw_data': {'First Name': 'Simon', 'Second Name': 'Fox', 'Age (Years)': '27', 'Sex': 'Male', 'Vehicle Make': 'Toyota', 'Vehicle Model': 'Dart', 'Vehicle Year': '2005', 'Vehicle Type': 'SUV'}}",,,,,,,,,
Tom,Cooke,69,Male,Hyundai,Liberty,2019,Pickup,"{'source': 'CSV', 'raw_data': {'First Name': 'Tom', 'Second Name': 'Cooke', 'Age (Years)': '69', 'Sex': 'Male', 'Vehicle Make': 'Hyundai', 'Vehicle Model': 'Liberty', 'Vehicle Year': '2019', 'Vehicle Type': 'Pickup'}}",,,,,,,,,
Fiona,Marshall,86,Female,Chevrolet,Pathfinder,2006,SUV,"{'source': 'CSV', 'raw_data': {'First Name': 'Fiona', 'Second Name': 'Marshall', 'Age (Years)': '86', 'Sex': 'Female', 'Vehicle Make': 'Chevrolet', 'Vehicle Model': 'Pathfinder', 'Vehicle Year': '2006', 'Vehicle Type': 'SUV'}}",,,,,,,,,
Mitchell,Davidson,84,Male,Subaru,A8,2006,"Sedan, Hatchback, Wagon","{'source': 'CSV', 'raw_data': {'First Name': 'Mitchell', 'Second Name': 'Davidson', 'Age (Years)': '84', 'Sex': 'Male', 'Vehicle Make': 'Subaru', 'Vehicle Model': 'A8', 'Vehicle Year': '2006', 'Vehicle Type': 'Sedan, Hatchback, Wagon'}}",,,,,,,,,
Sam,Long,83,Male,Mercedes-Benz,Azure T,2018,Coupe,"{'source': 'CSV', 'raw_data': {'First Name': 'Sam', 'Second Name': 'Long', 'Age (Years)': '83', 'Sex': 'Male', 'Vehicle Make': 'Mercedes-Benz', 'Vehicle Model': 'Azure T', 'Vehicle Year': '2018', 'Vehicle Type': 'Coupe'}}",,,,,,,,,
Sean,Perry,87,Male,Ford,1500 Regular Cab,2010,SUV,"{'source': 'CSV', 'raw_data': {'First Name': 'Sean', 'Second Name': 'Perry', 'Age (Years)': '87', 'Sex': 'Male', 'Vehicle Make': 'Ford', 'Vehicle Model': '1500 Regular Cab', 'Vehicle Year': '2010', 'Vehicle Type': 'SUV'}}",,,,,,,,,
Jacob,Bennett,66,Male,Mercedes-Benz,Impreza,1999,SUV,"{'source': 'CSV', 'raw_data': {'First Name': 'Jacob', 'Second Name': 'Bennett', 'Age (Years)': '66', 'Sex': 'Male', 'Vehicle Make': 'Mercedes-Benz', 'Vehicle Model': 'Impreza', 'Vehicle Year': '1999', 'Vehicle Type': 'SUV'}}",,,,,,,,,
Lydia,Henderson,62,Female,Nissan,GLC Coupe,2006,SUV,"{'source': 'CSV', 'raw_data': {'First Name': 'Lydia', 'Second Name': 'Henderson', 'Age (Years)': '62', 'Sex': 'Female', 'Vehicle Make': 'Nissan', 'Vehicle Model': 'GLC Coupe', 'Vehicle Year': '2006', 'Vehicle Type': 'SUV'}}",,,,,,,,,
Nathan,Slater,81,Male,Cadillac,RLX,1992,Sedan,"{'source': 'CSV', 'raw_data': {'First Name': 'Nathan', 'Second Name': 'Slater', 'Age (Years)': '81', 'Sex': 'Male', 'Vehicle Make': 'Cadillac', 'Vehicle Model': 'RLX', 'Vehicle Year': '1992', 'Vehicle Type': 'Sedan'}}",,,,,,,,,
Claire,Russell,41,Female,Mercedes-Benz,Voyager,1992,Van/Minivan,"{'source': 'CSV', 'raw_data': {'First Name': 'Claire', 'Second Name': 'Russell', 'Age (Years)': '41', 'Sex': 'Female', 'Vehicle Make': 'Mercedes-Benz', 'Vehicle Model': 'Voyager', 'Vehicle Year': '1992', 'Vehicle Type': 'Van/Minivan'}}",,,,,,,,,
Katy,Green,78,Female,Volvo,Galant,1992,Wagon,"{'source': 'CSV', 'raw_data': {'First Name': 'Katy', 'Second Name': 'Green', 'Age (Years)': '78', 'Sex': 'Female', 'Vehicle Make': 'Volvo', 'Vehicle Model': 'Galant', 'Vehicle Year': '1992', 'Vehicle Type': 'Wagon'}}",,,,,,,,,
Duncan,Moore,67,Male,Volkswagen,SLK-Class,1997,Sedan,"{'source': 'CSV', 'raw_data': {'First Name': 'Duncan', 'Second Name': 'Moore', 'Age (Years)': '67', 'Sex': 'Male', 'Vehicle Make': 'Volkswagen', 'Vehicle Model': 'SLK-Class', 'Vehicle Year': '1997', 'Vehicle Type': 'Sedan'}}",,,,,,,,,
Abbie,Miller,73,Female,Dodge,del Sol,2002,Sedan,"{'source': 'CSV', 'raw_data': {'First Name': 'Abbie', 'Second Name': 'Miller', 'Age (Years)': '73', 'Sex': 'Female', 'Vehicle Make': 'Dodge', 'Vehicle Model': 'del Sol', 'Vehicle Year': '2002', 'Vehicle Type': 'Sedan'}}",,,,,,,,,
Amber,Hobbs,21,Female,Toyota,Rodeo,1999,Van/Minivan,"{'source': 'CSV', 'raw_data': {'First Name': 'Amber', 'Second Name': 'Hobbs', 'Age (Years)': '21', 'Sex': 'Female', 'Vehicle Make': 'Toyota', 'Vehicle Model': 'Rodeo', 'Vehicle Year': '1999', 'Vehicle Type': 'Van/Minivan'}}",,,,,,,,,
Samuel,Daniels,47,Male,Volvo,Clarity Electric,2016,SUV,"{'source': 'CSV', 'raw_data': {'First Name': 'Samuel', 'Second Name': 'Daniels', 'Age (Years)': '47', 'Sex': 'Male', 'Vehicle Make': 'Volvo', 'Vehicle Model': 'Clarity Electric', 'Vehicle Year': '2016', 'Vehicle Type': 'SUV'}}",,,,,,,,,
Louise,Parry,66,Female,Ford,Ram 1500 Quad Cab,2003,"Sedan, Coupe","{'source': 'CSV', 'raw_data': {'First Name': 'Louise', 'Second Name': 'Parry', 'Age (Years)': '66', 'Sex': 'Female', 'Vehicle Make': 'Ford', 'Vehicle Model': 'Ram 1500 Quad Cab', 'Vehicle Year': '2003', 'Vehicle Type': 'Sedan, Coupe'}}",,,,,,,,,
June,Macdonald,67,Female,Cadillac,Camaro,2016,"Sedan, Hatchback","{'source': 'CSV', 'raw_data': {'First Name': 'June', 'Second Name': 'Macdonald', 'Age (Years)': '67', 'Sex': 'Female', 'Vehicle Make': 'Cadillac', 'Vehicle Model': 'Camaro', 'Vehicle Year': '2016', 'Vehicle Type': 'Sedan, Hatchback'}}",,,,,,,,,
